Number of steps: 500
Update Matrix <4,4>: [
  22.049950,	  -1.744166,	  10.000000,	  -11.631070,	
  22.099949,	  -1.802321,	  10.000000,	  -11.680120,	
  22.149948,	  -1.860722,	  10.000000,	  -11.729171,	
  22.199947,	  -1.919367,	  10.000000,	  -11.778221,	
  22.249947,	  -1.978258,	  10.000000,	  -11.827271,	
  22.299946,	  -2.037395,	  10.000000,	  -11.876322,	
  22.349945,	  -2.096776,	  10.000000,	  -11.925372,	
  22.399944,	  -2.156403,	  10.000000,	  -11.974422,	
  22.449944,	  -2.216275,	  10.000000,	  -12.023473,	
  22.499943,	  -2.276393,	  10.000000,	  -12.072523,	
  22.549942,	  -2.336756,	  10.000000,	  -12.121573,	
  22.599941,	  -2.397363,	  10.000000,	  -12.170624,	
  22.649940,	  -2.458216,	  10.000000,	  -12.219674,	
  22.699940,	  -2.519315,	  10.000000,	  -12.268724,	
  22.749939,	  -2.580658,	  10.000000,	  -12.317775,	
  22.799938,	  -2.642247,	  10.000000,	  -12.366825,	
  22.849937,	  -2.704081,	  10.000000,	  -12.415875,	
  22.899937,	  -2.766161,	  10.000000,	  -12.464926,	
  22.949936,	  -2.828485,	  10.000000,	  -12.513976,	
  22.999935,	  -2.891055,	  10.000000,	  -12.563026,	
